time,Displacement,velocity,Acceleration
1.5050000000000001,-0.0021991083023678434,0.06233582090633509,-40.18265132758626
1.51,-0.00190820928061528,0.054023787794690234,36.85783808292831
1.5150000000000001,-0.0016632703353649924,0.0439517903054248,-40.886637078634486
1.52,-0.00147338615671375,0.03200188115507216,36.10667341849343
1.5250000000000001,-0.001337787155027207,0.022237719519545063,-40.01233807270427
1.53,-0.0012459777299884864,0.01448605049594319,36.91167046326352
1.5350000000000001,-0.0011796609334938832,0.012040668101898036,-37.88982342088158
1.54,-0.0011158240208073756,0.013494096972704997,38.47119496920436
1.545,-0.001030665635550161,0.0205692571301809,-35.641130906214
1.55,-0.0009033935325200616,0.030339584081858856,39.54926168688518
1.555,-0.0007194782974749601,0.04322650993618177,-34.39449134515602
1.56,-0.000472588515641762,0.05552940279709749,39.31564848952231
1.565,-0.00016522125302998695,0.06741750224761253,-34.56040870931629
1.57,0.00019217970341516363,0.0755428803304477,37.81055994245036
1.575,0.0005830655833737943,0.0808114716530046,-35.7031234134276
1.58,0.0009873968859599744,0.08092104938146746,35.74695450481274
1.585,0.0013843093823372662,0.07784394916944931,-36.977794589620004
1.59,0.001754671182862653,0.07030077104070537,33.96052333812243
1.595,0.0020829824812613933,0.061023748318790746,-37.67133242688828
1.6,0.0023586853451890454,0.0492573972522701,32.96479200028002
1.605,0.0025765877861071455,0.03790357911497004,-37.50631925520004
1.61,0.002736708289541195,0.026144622258649816,32.802736512671956
1.615,0.002843467521434495,0.016559070498670322,-36.63695721666375
1.62,0.0029046890474420575,0.007929539904354715,33.18514497893751
1.625,0.0029303964779383443,0.0023534322941600183,-35.41558802301539
1.6300000000000001,0.002931794652103593,-0.001794162628060439,33.7565500541272
1.635,0.0029202536853421856,-0.0028222240765024414,-34.167774633504
1.6400000000000001,0.0029064820418652085,-0.0026864333142883473,34.22209093838964
1.645,0.002899584769665513,-7.247556558988288e-05,-33.176507838910254
1.6500000000000001,0.002906199270116128,0.002718275745836038,34.292808363480624
