Retained internal modes,Reduction time (s),Eigenproblem time (s),CB Mode 1 error (%),CB Mode 2 error (%),CB Mode 3 error (%),CB Mode 4 error (%),CB Mode 5 error (%),CB Mode 6 error (%),CB Mode 1 freq,CB Mode 2 freq,CB Mode 3 freq,CB Mode 4 freq,CB Mode 5 freq,CB Mode 6 freq,GI Mode 1 freq,GI Mode 2 freq,GI Mode 3 freq,GI Mode 4 freq,GI Mode 5 freq,GI Mode 6 freq,GI Mode 1 error (%),GI Mode 2 error (%),GI Mode 3 error (%),GI Mode 4 error (%),GI Mode 5 error (%),GI Mode 6 error (%),Full Mode 1 freq,Full Mode 2 freq,Full Mode 3 freq,Full Mode 4 freq,Full Mode 5 freq,Full Mode 6 freq
11,1.7218924000044353,0.0005133000086061656,0.014748040403054058,0.07292929581372254,0.40893724190371616,0.9572412510597977,0.6661041216536404,0.16539522973981052,2.57339668100956,6.849041467255126,10.900236955140885,13.039941462023556,13.95898272545065,14.901807024018161,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
12,1.714140399999451,0.0004613000201061368,0.014748039520180235,0.07292924028823576,0.4089372388531688,0.9572410619915012,0.6661034787769896,0.16539522794692865,2.5733966809868436,6.849041463454934,10.900236954809722,13.039941437602925,13.958982636305409,14.90180702375143,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
13,2.0042849999736063,0.0004901000065729022,0.01474803436912505,0.07292881376833224,0.40893718081224417,0.9572379477556814,0.6661014470747677,0.16539518542691456,2.573396680854306,6.849041434263698,10.90023694850889,13.039941035358844,13.958982354577051,14.901807017425643,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
14,1.8721656000125222,0.00047509995056316257,0.01474796732195808,0.07292856427815596,0.4089371094327753,0.9572337898765535,0.6660427837702144,0.1653925131319292,2.573396679129171,6.849041417188465,10.900236940760047,13.039940498314648,13.958974219961512,14.90180661986295,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
15,1.8823710000142455,0.0004948999849148095,0.014747965706160741,0.07292511684761492,0.4089295658804442,0.9571030402984123,0.6659720547066493,0.1653908936924138,2.573396679087596,6.84904118124459,10.900236121843822,13.03992361030519,13.958964412233428,14.901806378935682,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
16,2.9706223999965005,0.0004885999951511621,0.014747958860208051,0.07292454012884783,0.4089295658409763,0.9571007270724531,0.6659715503794272,0.16539088574135116,2.5733966789114486,6.849041141773668,10.900236121839537,13.039923311521955,13.958964342300305,14.901806377752786,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
17,3.088696099992376,0.00048610003432258964,0.014747297923534203,0.07292409274819471,0.4089213933888712,0.9570521431055838,0.6653155953904216,0.16538590592414484,2.5733966619054343,6.849041111154712,10.900235234650937,13.039917036270412,13.958873383536776,14.901805636895379,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
18,3.143586900027003,0.0004910000134259462,0.01474728673435596,0.07292211903365177,0.40892135668561197,0.9570436088474404,0.6653137188523981,0.16538574275126158,2.5733966616175348,6.849040976072699,10.900235230666489,13.039915933959916,13.958873123324443,14.901805612619821,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
19,2.948583499994129,0.0004898000042885542,0.014747285668876916,0.07292195044472417,0.4089213507921489,0.9570430298523879,0.6653134750712659,0.16538570353350485,2.57339666159012,6.849040964534388,10.900235230026704,13.03991585917517,13.958873089520248,14.901805606785317,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
20,1.6113725999603048,0.00038620003033429384,0.014747284804677845,0.07292146729826804,0.40890660138476487,0.9570144445811757,0.6647441862870607,0.16535070039939628,2.573396661567884,6.849040931467602,10.90023362885414,13.039912167015414,13.958794148427078,14.901800399298754,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
