time,Displacement full,Displacement GI,Displacement CB
0.2156,-0.0009986422085981267,-0.0041332133372948944,-0.0010148160494937335
0.2157,-0.0010085468117567045,-0.004137307038484733,-0.001018522857014315
0.21580000000000002,-0.0010183606026670149,-0.00414127445556248,-0.001022164555975847
0.2159,-0.0010280834622986967,-0.004145115997711986,-0.0010257420831641618
0.216,-0.0010377153032785813,-0.004148832082197471,-0.0010292563916400165
0.21610000000000001,-0.001047256069916586,-0.004152423134329639,-0.0010327084505888948
0.2162,-0.0010567057382211062,-0.004155889587431265,-0.0010360992451675787
0.21630000000000002,-0.001066064315903902,-0.004159231882802225,-0.0010394297763475153
0.2164,-0.001075331842374475,-0.004162450469683991,-0.0010427010607550007
0.2165,-0.0010845083887239366,-0.004165545805223588,-0.0010459141305082069
0.21660000000000001,-0.0010935940576983737,-0.0041685183544370105,-0.0010490700330510747
0.2167,-0.0011025889836617179,-0.004171368590172109,-0.001052169830984099
0.21680000000000002,-0.0011114933325481323,-0.004174096993070944,-0.0010552146018920309
0.2169,-0.0011203073018039298,-0.004176704051531613,-0.0010582054381685255
0.217,-0.0011290311203190416,-0.004179190261669556,-0.0010611434468377615
0.21710000000000002,-0.0011376650483480584,-0.00418155612727833,-0.0010640297493730592
0.2172,-0.001146209377420871,-0.004183802159789876,-0.001066865481512527
0.21730000000000002,-0.0011546644302429406,-0.004185928878234262,-0.0010696517930717639
0.2174,-0.0011630305605852278,-0.004187936809198912,-0.0010723898477536485
0.2175,-0.001171308153163823,-0.004189826486787336,-0.0010750808229552447
0.21760000000000002,-0.0011794976235093141,-0.0041915984525773406,-0.0010777259095718532
0.2177,-0.0011875994178259372,-0.004193253255578739,-0.0010803263117982423
0.21780000000000002,-0.001195614012840558,-0.004194791452190564,-0.0010828832469270868
0.2179,-0.0012035419156415344,-0.004196213606157784,-0.0010853979451446514
0.218,-0.001211383663507515,-0.004197520288527519,-0.0010878716493237482
0.21810000000000002,-0.001219139823726232,-0.004198712077604768,-0.001090305614814002
0.2182,-0.001226810993403352,-0.0041997895589076534,-0.0010927011092294588
0.21830000000000002,-0.0012343977992614462,-0.004200753325122175,-0.0010950594122335726
